ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,EDM1,EDM2,EDM3,EDM4,EDM5
160,22.0,4,0.3,0.3,6,5,0,0,1,0,1,0,0,1,0,1,0,0,0,0
161,22.0,4,3.75,0.3,30,5,0,0,1,1,1,0,1,1,0,1,0,0,0,0
162,65.0,4,0.3,0.3,5,2,0,0,1,0,1,1,1,1,0,1,0,0,0,0
163,40.0,4,1.75,0.75,10,10,0,0,1,1,1,0,0,1,0,0,1,0,0,0
164,22.0,4,0.3,5.0,2,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
165,30.0,4,0.3,0.3,5,5,0,0,1,0,1,1,1,1,0,1,0,0,0,0
166,22.0,1,0.3,0.75,10,15,1,0,0,0,0,1,0,1,0,0,1,0,0,0
167,40.0,4,0.3,5.0,6,25,0,0,1,1,1,1,0,1,0,0,0,0,0,1
168,30.0,4,0.75,0.75,8,8,0,0,1,0,0,1,1,1,0,0,1,0,0,0
169,30.0,2,0.3,2.75,3,10,0,1,0,1,1,1,1,1,0,0,0,0,1,0
170,22.0,4,1.25,1.75,15,25,0,0,1,1,1,0,1,1,0,0,0,1,0,0
171,30.0,1,3.25,0.75,40,10,1,0,0,1,1,1,1,1,0,0,1,0,0,0
172,30.0,4,0.3,0.3,2,5,0,0,1,0,1,0,1,1,0,1,0,0,0,0
173,30.0,4,0.3,2.25,6,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0
174,54.0,4,0.3,5.0,15,20,0,0,1,0,1,1,1,1,0,0,0,0,0,1
175,22.0,4,0.3,3.75,2,30,0,0,1,0,0,0,1,1,0,0,0,0,1,0
176,22.0,1,0.3,0.3,5,10,1,0,0,1,1,0,1,1,0,1,0,0,0,0
177,22.0,2,0.3,0.3,5,5,0,1,0,0,1,0,1,1,0,1,0,0,0,0
178,30.0,4,1.25,0.75,15,5,0,0,1,0,0,1,1,1,0,0,1,0,0,0
179,30.0,2,5.0,1.25,30,15,0,1,0,1,1,1,1,1,0,0,0,1,0,0
180,30.0,4,0.75,5.0,10,30,0,0,1,0,1,1,0,1,0,0,0,0,0,1
181,22.0,4,0.3,2.75,5,10,0,0,1,0,1,0,1,1,0,0,0,0,1,0
182,30.0,4,0.3,1.75,5,15,0,0,1,0,0,1,1,1,0,0,0,1,0,0
