ID,AGE,USE,AD,ED,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,BICYCLES,MOTOR,WB,GENDER,UNO,SERO,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
493,30.0,4,0.75,5.0,10,40,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1
494,30.0,4,0.3,0.75,7,10,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0
495,30.0,1,1.25,0.3,6,2,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0
496,22.0,4,0.75,0.3,10,5,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0
497,30.0,4,0.75,0.3,10,5,0,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0
498,22.0,4,4.75,2.25,30,7,0,0,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0
499,54.0,1,1.75,1.25,25,10,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0
500,22.0,4,1.75,0.3,10,3,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0
501,54.0,4,0.75,2.25,5,10,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
502,30.0,4,0.3,0.3,3,3,0,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
503,22.0,4,0.75,0.3,10,3,0,0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0
504,22.0,4,5.0,5.0,30,30,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1
505,30.0,2,0.75,0.75,10,10,0,1,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0
506,40.0,4,0.3,4.25,7,15,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
507,40.0,4,0.3,2.75,3,25,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
508,54.0,4,1.25,1.25,25,15,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
509,30.0,4,0.3,5.0,3,20,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1
510,30.0,4,0.3,5.0,2,60,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1
511,22.0,1,0.3,0.3,10,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0
512,22.0,4,0.75,0.75,10,10,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0
513,22.0,4,0.75,0.75,10,15,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
514,22.0,4,2.25,1.75,25,15,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
