ID,USE,ACCESS_TIME,AD,ED,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,AGE,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,EDM1,EDM2,EDM3,EDM4,EDM5
131,1,5.399999999999999,1.0799999999999998,0.144,0.7199999999999999,1,0,0,0,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
132,4,3.5999999999999996,0.72,1.0799999999999998,5.399999999999999,0,0,0,1,1,30.0,1,1,0,1,0,1,0,0,0,0,0,1,0,0
133,1,1.7999999999999998,0.36,0.504,2.52,1,0,0,0,0,22.0,1,1,0,1,1,0,0,0,0,0,1,0,0,0
134,4,2.8799999999999994,0.576,0.36,1.7999999999999998,0,0,0,1,1,30.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
135,4,1.7999999999999998,0.36,0.72,3.5999999999999996,0,0,0,1,0,40.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
136,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
137,3,1.7999999999999998,0.36,0.504,2.52,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
138,3,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,0,30.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
139,4,7.84,1.568,0.36,1.7999999999999998,0,0,0,1,1,54.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
140,4,2.52,0.504,0.72,3.5999999999999996,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
141,4,3.5999999999999996,0.72,0.21599999999999997,1.0799999999999998,0,0,0,1,1,40.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
142,4,1.7999999999999998,0.36,0.144,0.7199999999999999,0,0,0,1,1,54.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
143,4,3.5999999999999996,0.72,0.504,2.52,0,0,0,1,1,30.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
144,4,3.5999999999999996,0.72,2.67,13.35,0,0,0,1,1,30.0,0,1,0,1,0,1,0,0,0,0,0,0,1,0
145,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
146,4,5.399999999999999,1.0799999999999998,0.72,3.5999999999999996,0,0,0,1,1,22.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
147,3,13.35,2.67,0.144,0.7199999999999999,0,0,1,0,0,22.0,0,1,0,1,0,0,0,1,0,1,0,0,0,0
148,4,1.0799999999999998,0.21599999999999997,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
149,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
150,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
151,3,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,1,0,1,30.0,0,1,0,1,0,1,0,0,0,1,0,0,0,0
152,4,2.52,0.504,0.504,2.52,0,0,0,1,0,22.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
153,4,2.1599999999999997,0.43199999999999994,0.144,0.7199999999999999,0,0,0,1,1,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
154,4,0.7199999999999999,0.144,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
155,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,54.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
156,4,3.5999999999999996,0.72,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,0,1,0,0,0,1,0,0,0,0
157,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
158,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
159,3,1.7999999999999998,0.36,0.576,2.8799999999999994,0,0,1,0,0,22.0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
160,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,30.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
161,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
162,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,1,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
163,4,2.1599999999999997,0.43199999999999994,0.144,0.7199999999999999,0,0,0,1,1,40.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
164,4,5.399999999999999,1.0799999999999998,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,1,1,0,1,0,0,1,0,0,1,0,0,0,0
165,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,0,30.0,0,1,0,1,0,1,0,0,0,0,1,0,0,0
166,4,5.399999999999999,1.0799999999999998,0.36,1.7999999999999998,0,0,0,1,0,22.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
167,4,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,0,1,1,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
168,4,0.7199999999999999,0.144,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,1,0,0,0,0
169,4,1.7999999999999998,0.36,1.0799999999999998,5.399999999999999,0,0,0,1,1,30.0,1,1,0,0,1,0,0,0,0,0,0,1,0,0
170,4,1.0799999999999998,0.21599999999999997,0.504,2.52,0,0,0,1,1,22.0,0,1,0,1,1,0,0,0,0,0,1,0,0,0
171,4,0.7199999999999999,0.144,1.0799999999999998,5.399999999999999,0,0,0,1,0,22.0,0,1,0,1,1,0,0,0,0,0,0,1,0,0
172,3,5.399999999999999,1.0799999999999998,1.44,7.199999999999999,0,0,1,0,0,30.0,1,1,0,1,0,0,1,0,0,0,0,1,0,0
173,4,1.7999999999999998,0.36,0.21599999999999997,1.0799999999999998,0,0,0,1,0,22.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0
174,3,3.5999999999999996,0.72,0.72,3.5999999999999996,0,0,1,0,1,30.0,1,1,0,1,0,1,0,0,0,0,1,0,0,0
175,3,1.7999999999999998,0.36,0.36,1.7999999999999998,0,0,1,0,0,22.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
176,2,1.7999999999999998,0.36,0.36,1.7999999999999998,0,1,0,0,0,30.0,1,1,0,1,1,0,0,0,0,1,0,0,0,0
