,AGE,USE,ACCESS_TIME,ACCESS_DISTANCE,EGRESS_DISTANCE,EGRESS_TIME,ALT1,ALT2,ALT3,WB,CYCLE,GENDER,UNO,SERO,VEHICLE,RENT,ACCESS,EGRESS
57,40.0,1,1.7999999999999998,0.5,0.75,3.5999999999999996,1,0,0,0,1,1,1,0,1,5,1,0
59,22.0,4,39.199999999999996,1.25,0.5,0.7199999999999999,0,0,1,1,1,1,1,0,1,5,1,0
62,22.0,1,3.5999999999999996,0.75,0.5,1.7999999999999998,1,0,0,0,1,1,1,0,1,5,1,1
63,30.0,4,3.5999999999999996,0.5,0.5,3.5999999999999996,0,0,1,1,0,1,1,0,1,5,1,0
64,22.0,1,1.7999999999999998,0.5,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,0,5,1,0
66,40.0,4,3.5999999999999996,0.75,0.5,1.4399999999999997,0,0,1,1,0,0,1,0,1,5,1,0
67,22.0,1,7.199999999999999,0.75,0.5,1.4399999999999997,1,0,0,0,0,0,1,0,1,5,1,0
68,22.0,4,1.7999999999999998,0.5,1.25,5.399999999999999,0,0,1,1,0,0,1,0,1,5,1,0
71,22.0,4,40.05,4.25,0.5,1.7999999999999998,0,0,1,1,0,0,1,0,1,5,1,0
74,22.0,4,1.7999999999999998,0.5,0.5,1.4399999999999997,0,0,1,0,0,0,1,0,1,5,1,0
75,30.0,4,1.7999999999999998,0.5,1.25,26.7,0,0,1,1,0,1,1,0,0,5,1,0
77,22.0,1,1.7999999999999998,0.5,0.5,2.52,1,0,0,0,1,1,1,0,1,5,1,0
81,30.0,4,2.52,0.5,1.75,13.35,0,0,1,1,0,0,1,0,1,5,1,0
85,22.0,4,0.7199999999999999,0.5,0.5,0.7199999999999999,0,0,1,0,1,1,1,0,1,5,1,0
87,22.0,1,13.35,1.25,0.5,0.7199999999999999,1,0,0,1,0,0,1,0,1,5,1,0
89,22.0,4,39.199999999999996,3.25,0.5,0.7199999999999999,0,0,1,1,0,1,1,0,1,5,1,0
90,40.0,1,19.599999999999998,0.75,0.5,0.7199999999999999,1,0,0,1,1,1,1,0,1,5,1,0
91,30.0,1,19.599999999999998,0.75,0.5,1.7999999999999998,1,0,0,1,0,1,1,0,1,5,1,0
92,22.0,4,0.7199999999999999,0.5,0.75,3.5999999999999996,0,0,1,0,0,0,1,0,0,5,1,0
94,22.0,4,3.5999999999999996,0.75,0.5,1.0799999999999998,0,0,1,1,0,1,1,0,1,5,1,0
95,22.0,1,3.5999999999999996,0.75,0.5,0.7199999999999999,1,0,0,0,1,1,1,0,1,5,1,0
96,22.0,4,26.7,1.75,0.5,0.7199999999999999,0,0,1,1,0,0,1,0,1,5,1,0
97,22.0,4,3.5999999999999996,0.75,0.5,1.0799999999999998,0,0,1,0,0,0,1,0,1,5,1,0
100,22.0,1,1.7999999999999998,0.5,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,1,5,1,0
103,22.0,4,15.0,2.25,0.5,1.7999999999999998,0,0,1,0,0,1,1,0,0,5,1,0
104,22.0,1,2.52,0.75,3.25,26.7,1,0,0,1,0,0,1,0,1,5,1,0
106,22.0,1,3.5999999999999996,0.75,0.75,3.5999999999999996,1,0,0,0,0,1,1,0,1,5,1,0
107,22.0,4,1.7999999999999998,0.5,3.25,26.7,0,0,1,0,0,1,1,0,1,5,1,0
113,30.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,1,0
115,40.0,1,2.52,0.5,0.5,0.7199999999999999,1,0,0,1,1,1,1,0,1,5,1,0
120,22.0,4,1.7999999999999998,0.75,0.5,1.0799999999999998,0,0,1,0,1,1,1,0,1,5,1,0
121,22.0,4,1.7999999999999998,0.5,0.5,3.5999999999999996,0,0,1,0,0,0,1,0,1,5,1,0
127,22.0,2,1.7999999999999998,0.5,0.5,0.7199999999999999,0,1,0,1,0,0,1,0,1,5,1,0
129,30.0,2,40.05,1.75,4.25,25.0,0,1,0,0,0,0,1,0,0,5,1,0
143,22.0,4,1.7999999999999998,0.5,0.5,0.7199999999999999,0,0,1,0,1,0,1,0,1,5,1,0
144,30.0,4,27.44,2.25,4.25,26.7,0,0,1,1,0,0,1,0,0,5,1,0
145,30.0,4,98.0,5.0,0.5,1.7999999999999998,0,0,1,0,1,1,1,0,1,5,1,0
146,30.0,1,2.1599999999999997,0.5,0.5,1.7999999999999998,1,0,0,0,0,0,1,0,1,5,1,0
147,22.0,4,78.39999999999999,5.0,1.25,3.5999999999999996,0,0,1,1,0,0,1,0,1,5,1,0
148,30.0,1,1.7999999999999998,0.5,0.5,1.7999999999999998,1,0,0,1,0,1,1,0,0,5,1,0
149,22.0,4,1.7999999999999998,0.5,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,0,5,1,0
150,22.0,4,1.0799999999999998,0.5,1.25,16.02,0,0,1,1,0,0,1,0,1,5,1,0
151,22.0,4,78.39999999999999,5.0,0.5,1.7999999999999998,0,0,1,1,0,1,1,0,1,5,1,0
152,40.0,4,1.7999999999999998,0.5,0.75,3.5999999999999996,0,0,1,1,0,0,1,0,1,5,1,0
153,30.0,2,5.0,2.25,2.75,40.05,0,1,0,1,0,0,1,0,1,5,1,0
155,22.0,2,1.0799999999999998,0.5,0.5,0.7199999999999999,0,1,0,0,0,0,1,0,0,5,1,0
156,22.0,4,2.52,0.5,1.25,4.68,0,0,1,0,0,0,1,0,1,5,1,0
157,30.0,1,3.5999999999999996,0.75,1.25,7.199999999999999,1,0,0,1,0,1,1,0,1,5,1,0
158,22.0,2,5.399999999999999,1.25,0.5,1.7999999999999998,0,1,0,0,1,0,1,0,1,5,1,0
159,22.0,4,2.52,0.75,0.5,1.7999999999999998,0,0,1,0,0,0,1,0,1,5,1,0
160,54.0,4,1.7999999999999998,0.5,1.25,5.399999999999999,0,0,1,0,0,1,1,0,0,5,1,0
162,22.0,1,2.52,0.75,0.75,2.52,1,0,0,0,0,0,1,0,1,5,1,0
163,40.0,2,3.5999999999999996,0.75,0.75,3.5999999999999996,0,1,0,0,0,1,1,0,0,5,1,0
