ID,AGE,USE,ACCESS_DISTANCE,EGRESS_DISTANCE,ACCESS_TIME,EGRESS_TIME,ALT1,ALT2,ALT3,ALT4,WB,GENDER,UNO,SERO,VEHICLE,DM1,DM2,DM3,DM4,DM5,DM6,DE1,DE2,DE3,DE4,DE5,DE6
2117,54.0,4,1.75,3.25,10,15,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2118,22.0,3,3.25,1.75,10,10,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2119,40.0,4,0.75,0.3,5,5,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2120,30.0,4,0.3,0.3,5,5,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2121,22.0,4,0.75,1.25,10,7,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2122,54.0,4,0.3,0.75,5,10,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2123,30.0,4,0.3,0.3,5,6,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2124,22.0,3,3.75,1.75,25,15,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
2125,22.0,4,3.75,0.3,30,5,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0
2126,22.0,3,1.75,1.25,30,15,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2127,30.0,3,0.75,0.75,10,10,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2128,22.0,4,1.25,0.75,8,7,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2129,40.0,2,0.3,0.3,2,5,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2130,22.0,1,3.75,5.0,15,30,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2131,22.0,4,0.75,5.0,10,20,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2132,22.0,4,0.3,0.75,5,10,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2133,22.0,4,2.75,0.3,10,3,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2134,22.0,4,0.3,0.75,5,7,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2135,22.0,3,0.3,1.75,5,10,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2136,22.0,1,0.75,0.75,7,5,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2137,40.0,4,0.3,0.3,7,8,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2138,30.0,4,5.0,0.75,25,10,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
2139,30.0,4,0.3,0.3,4,8,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2140,22.0,4,0.3,0.3,5,5,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2141,22.0,4,0.75,0.3,7,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2142,22.0,4,0.3,0.3,7,4,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2143,22.0,4,5.0,5.0,20,20,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2144,30.0,1,0.75,0.75,7,6,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2145,22.0,4,2.75,0.3,15,5,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0
2146,30.0,4,3.75,5.0,13,15,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2147,22.0,3,0.75,0.75,7,10,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2148,30.0,4,5.0,0.3,90,3,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2149,22.0,2,0.3,0.75,5,10,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2150,22.0,1,0.75,0.3,10,5,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0
2151,22.0,1,0.75,0.75,10,10,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
2152,30.0,1,0.75,0.3,10,5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
2153,30.0,4,0.75,0.75,5,10,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2154,22.0,3,1.25,1.75,5,7,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
2155,22.0,1,0.3,0.75,5,7,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2156,30.0,4,0.75,0.75,5,3,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2157,22.0,4,0.3,0.3,5,2,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
2158,22.0,3,0.3,0.75,6,10,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
2159,22.0,3,1.25,1.75,10,15,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
2160,22.0,3,0.3,0.3,5,7,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2161,22.0,4,0.3,0.75,5,6,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
2162,22.0,1,1.75,0.3,20,5,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
2163,54.0,4,0.75,0.75,15,10,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0
2164,22.0,4,0.3,0.3,3,5,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
2165,30.0,4,0.3,0.75,5,10,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2166,22.0,4,0.75,0.75,10,10,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2167,30.0,2,0.3,4.75,5,20,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2168,22.0,2,0.3,3.25,2,10,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
2169,30.0,4,0.3,4.75,5,20,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2170,22.0,2,0.3,1.25,5,15,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
