ID,USE_BICYCLE,ACCESS_TIME,EGRESS_TIME,GENDER,Alt1,ALT2,ALT3,ALT4,UNO,SERO,USE,ACCESS_DISTANCE,EGRESS-DISTANCE,EGRESS_DISTANCE,ALT1,WB
1562,3,2.52,1.7999999999999998,0,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
1563,4,2.52,1.4399999999999997,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1564,1,26.7,1.7999999999999998,1,1,0,0,0,1,0,1,1.75,0.5,0.5,1,0
1565,4,58.8,2.52,0,0,0,0,1,1,0,4,5.0,0.75,0.75,0,1
1566,2,1.0799999999999998,26.7,0,0,1,0,0,1,0,2,0.5,1.25,1.25,0,1
1567,1,1.7999999999999998,0.7199999999999999,1,1,0,0,0,1,0,1,0.5,0.5,0.5,1,0
1568,3,78.39999999999999,3.5999999999999996,1,0,0,1,0,1,0,3,5.0,2.25,2.25,0,1
1569,4,34.71,33.349999999999994,0,0,0,0,1,1,0,4,2.25,4.25,4.25,0,1
1570,3,5.0,26.7,0,0,0,1,0,1,0,3,0.75,2.25,2.25,0,1
1571,4,10.0,1.7999999999999998,0,0,0,0,1,1,0,4,1.75,0.5,0.5,0,1
1572,4,2.52,2.52,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1573,3,1.7999999999999998,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
1574,3,1.7999999999999998,1.7999999999999998,0,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
1575,3,47.040000000000006,3.5999999999999996,1,0,0,1,0,1,0,3,3.25,0.75,0.75,0,1
1576,4,23.345000000000002,1.7999999999999998,0,0,0,0,1,1,0,4,2.25,0.5,0.5,0,1
1577,4,3.5999999999999996,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1578,3,58.8,3.5999999999999996,1,0,0,1,0,1,0,3,1.75,0.75,0.75,0,1
1579,4,3.5999999999999996,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1580,4,1.7999999999999998,83.375,0,0,0,0,1,1,0,4,0.5,5.0,5.0,0,1
1581,1,66.69999999999999,1.7999999999999998,1,1,0,0,0,1,0,1,4.25,0.5,0.5,1,1
1582,4,3.5999999999999996,1.7999999999999998,1,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
1583,4,1.7999999999999998,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1584,3,3.5999999999999996,5.399999999999999,1,0,0,1,0,1,0,3,1.25,1.75,1.75,0,1
1585,4,3.5999999999999996,40.05,0,0,0,0,1,1,0,4,0.75,4.75,4.75,0,0
1586,4,1.7999999999999998,1.4399999999999997,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1587,4,1.4399999999999997,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1588,2,0.7199999999999999,3.5999999999999996,1,0,1,0,0,1,0,2,0.5,0.75,0.75,0,1
1589,3,19.599999999999998,3.5999999999999996,1,0,0,1,0,1,0,3,0.75,0.75,0.75,0,1
1590,3,3.5999999999999996,3.5999999999999996,0,0,0,1,0,1,0,3,0.75,0.75,0.75,0,0
1591,1,1.7999999999999998,5.399999999999999,1,1,0,0,0,1,0,1,0.5,0.75,0.75,1,1
1592,2,1.7999999999999998,4.68,0,0,1,0,0,1,0,2,0.5,0.75,0.75,0,0
1593,1,3.5999999999999996,3.5999999999999996,1,1,0,0,0,1,0,1,0.75,0.75,0.75,1,0
1594,1,3.2399999999999993,1.4399999999999997,1,1,0,0,0,1,0,1,0.75,0.5,0.5,1,0
1595,1,3.5999999999999996,0.7199999999999999,0,1,0,0,0,1,0,1,0.75,0.5,0.5,1,1
1596,4,1.7999999999999998,10.0,1,0,0,0,1,1,0,4,0.5,2.75,2.75,0,0
1597,4,39.199999999999996,3.5999999999999996,0,0,0,0,1,1,0,4,4.25,0.75,0.75,0,0
1598,2,1.7999999999999998,3.5999999999999996,1,0,1,0,0,1,0,2,0.5,0.75,0.75,0,0
1599,4,3.5999999999999996,40.05,1,0,0,0,1,1,0,4,0.75,2.25,2.25,0,0
1600,3,26.7,40.05,0,0,0,1,0,1,0,3,2.25,4.25,4.25,0,1
1601,4,1.7999999999999998,0.7199999999999999,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1602,4,1.7999999999999998,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1603,2,1.7999999999999998,5.399999999999999,1,0,1,0,0,1,0,2,0.5,1.75,1.75,0,1
1604,3,7.199999999999999,1.7999999999999998,1,0,0,1,0,1,0,3,1.25,0.5,0.5,0,0
1605,4,5.399999999999999,5.399999999999999,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
1606,4,3.5999999999999996,3.5999999999999996,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1607,4,1.0799999999999998,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1608,3,5.399999999999999,26.7,1,0,0,1,0,1,0,3,1.25,1.75,1.75,0,0
1609,3,1.7999999999999998,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
1610,4,1.7999999999999998,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1611,1,23.520000000000003,1.7999999999999998,1,1,0,0,0,1,0,1,1.25,0.5,0.5,1,0
1612,4,5.399999999999999,0.7199999999999999,1,0,0,0,1,1,0,4,1.25,0.5,0.5,0,1
1613,3,1.7999999999999998,2.52,0,0,0,1,0,1,0,3,0.5,0.75,0.75,0,0
1614,3,0.7199999999999999,2.1599999999999997,0,0,0,1,0,1,0,3,0.5,0.5,0.5,0,0
1615,1,10.0,1.7999999999999998,0,1,0,0,0,1,0,1,1.25,0.5,0.5,1,0
1616,4,3.5999999999999996,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1617,3,3.5999999999999996,1.7999999999999998,0,0,0,1,0,1,0,3,0.75,0.5,0.5,0,1
1618,4,1.7999999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1619,3,10.0,2.1599999999999997,0,0,0,1,0,1,0,3,2.25,0.5,0.5,0,0
1620,3,2.52,1.7999999999999998,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,1
1621,4,1.7999999999999998,0.7199999999999999,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1622,4,2.52,2.8799999999999994,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
1623,4,3.5999999999999996,3.5999999999999996,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
1624,4,1.7999999999999998,66.69999999999999,1,0,0,0,1,1,0,4,0.5,5.0,5.0,0,0
1625,4,5.399999999999999,3.5999999999999996,0,0,0,0,1,1,0,4,1.75,0.75,0.75,0,1
1626,4,5.0,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
1627,1,39.199999999999996,5.0,1,1,0,0,0,1,0,1,0.75,0.5,0.5,1,1
1628,4,3.5999999999999996,5.399999999999999,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1629,4,2.52,26.7,0,0,0,0,1,1,0,4,0.75,2.75,2.75,0,0
1630,4,2.52,2.52,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1631,1,3.5999999999999996,2.52,0,1,0,0,0,1,0,1,0.75,0.5,0.5,1,0
1632,4,3.5999999999999996,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1633,4,3.5999999999999996,5.399999999999999,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1634,1,15.0,78.39999999999999,1,1,0,0,0,1,0,1,2.25,5.0,5.0,1,1
1635,2,1.7999999999999998,0.7199999999999999,1,0,1,0,0,1,0,2,0.5,0.5,0.5,0,0
1636,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1637,3,3.5999999999999996,4.68,0,0,0,1,0,1,0,3,0.75,1.25,1.25,0,0
1638,2,2.52,5.399999999999999,0,0,1,0,0,1,0,2,0.5,0.75,0.75,0,1
1639,4,1.7999999999999998,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1640,1,5.399999999999999,5.399999999999999,1,1,0,0,0,1,0,1,1.25,0.75,0.75,1,1
1641,1,5.399999999999999,1.7999999999999998,1,1,0,0,0,1,0,1,0.75,0.5,0.5,1,1
1642,4,5.399999999999999,7.199999999999999,0,0,0,0,1,1,0,4,0.75,5.0,5.0,0,0
1643,4,1.7999999999999998,5.399999999999999,1,0,0,0,1,1,0,4,0.5,1.25,1.25,0,0
1644,4,1.7999999999999998,0.7199999999999999,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1645,4,3.5999999999999996,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1646,4,1.7999999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1647,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
1648,4,0.7199999999999999,3.5999999999999996,0,0,0,0,1,1,0,4,0.5,1.25,1.25,0,1
1649,4,1.7999999999999998,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1650,4,1.4399999999999997,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1651,4,1.0799999999999998,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1652,2,1.7999999999999998,58.8,1,0,1,0,0,1,0,2,0.5,3.25,3.25,0,0
1653,4,5.399999999999999,3.5999999999999996,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1654,4,10.0,1.7999999999999998,1,0,0,0,1,1,0,4,1.75,0.5,0.5,0,0
1655,4,3.5999999999999996,2.52,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1656,3,1.7999999999999998,3.5999999999999996,1,0,0,1,0,1,0,3,0.5,0.5,0.5,0,1
1657,4,5.399999999999999,5.0,0,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1658,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.75,0.5,0.5,0,0
1659,4,3.5999999999999996,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1660,4,5.399999999999999,7.199999999999999,0,0,0,0,1,1,0,4,1.25,1.25,1.25,0,0
1661,4,2.52,3.5999999999999996,0,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
1662,2,10.0,13.35,0,0,1,0,0,1,0,2,2.25,0.75,0.75,0,0
1663,4,5.399999999999999,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1664,4,1.7999999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.5,0.5,0,1
1665,4,1.7999999999999998,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,0
1666,4,1.0799999999999998,3.5999999999999996,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1667,2,1.7999999999999998,39.199999999999996,1,0,1,0,0,1,0,2,0.5,2.75,2.75,0,1
1668,2,1.7999999999999998,3.5999999999999996,1,0,1,0,0,1,0,2,0.5,0.75,0.75,0,0
1669,3,2.52,3.5999999999999996,0,0,0,1,0,1,0,3,0.75,0.75,0.75,0,0
1670,4,0.7199999999999999,1.7999999999999998,0,0,0,0,1,1,0,4,0.5,0.5,0.5,0,0
1671,1,26.7,2.1599999999999997,0,1,0,0,0,1,0,1,1.25,0.5,0.5,1,0
1672,4,5.399999999999999,5.399999999999999,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,1
1673,4,3.5999999999999996,4.319999999999999,1,0,0,0,1,1,0,4,0.75,1.25,1.25,0,0
1674,4,1.7999999999999998,39.199999999999996,1,0,0,0,1,1,0,4,0.5,1.75,1.75,0,1
1675,3,3.5999999999999996,5.399999999999999,1,0,0,1,0,1,0,3,0.75,0.75,0.75,0,0
1676,4,3.5999999999999996,3.5999999999999996,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1677,4,1.7999999999999998,7.0,1,0,0,0,1,1,0,4,0.5,1.75,1.75,0,0
1678,3,5.399999999999999,7.199999999999999,1,0,0,1,0,1,0,3,0.5,1.25,1.25,0,1
1679,3,7.199999999999999,26.7,1,0,0,1,0,1,0,3,1.75,2.25,2.25,0,1
1680,1,3.5999999999999996,1.7999999999999998,1,1,0,0,0,1,0,1,0.75,0.5,0.5,1,0
1681,2,1.7999999999999998,40.05,1,0,1,0,0,1,0,2,0.5,5.0,5.0,0,0
1682,4,1.0799999999999998,1.7999999999999998,1,0,0,0,1,1,0,4,0.5,0.75,0.75,0,1
1683,4,6.0,0.7199999999999999,0,0,0,0,1,1,0,4,1.75,0.5,0.5,0,0
1684,4,1.7999999999999998,2.8799999999999994,1,0,0,0,1,1,0,4,0.75,0.75,0.75,0,0
1685,1,6.479999999999999,1.7999999999999998,0,1,0,0,0,1,0,1,1.75,0.75,0.75,1,0
1686,4,2.52,18.69,0,0,0,0,1,1,0,4,0.75,1.75,1.75,0,0
